sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1714737600000,868.8000000000001,1459.2,4816,974.4000000000001,788,5565.6,2126.4,491.20000000000005,1282.4,21.6,402.40000000000003,96,2540.8,384,8,543.2,10658.400000000001,376,7566.400000000001,370.40000000000003,560.8000000000001,556.8000000000001,2221.6,1620,51.2,3757.6000000000004,158.4,1.6,4,601.6,13.600000000000001,8702.4,12081.6
1714737610000,351.20000000000005,1176,3680.8,442.40000000000003,617.6,4848,1154.4,979.2,220,8,184,96,1972,384,8,275.2,8319.2,317.6,5814.400000000001,361.6,260.8,243.20000000000002,457.6,1253.6000000000001,20.8,1067.2,20,1.6,0.8,132.8,114.4,6392,9925.6
1714737620000,267.2,942.4000000000001,3533.6000000000004,400,923.2,5720.8,1140,165.60000000000002,352.8,9.600000000000001,286.40000000000003,96,2284,384,8,97.60000000000001,9998.400000000001,512.8000000000001,7440.8,421.6,295.2,561.6,992,985.6,14.4,1078.4,4,1.6,0,183.20000000000002,40,7269.6,6212
1714737630000,73.60000000000001,1210.4,4043.2000000000003,124,488.8,4108.8,340,93.60000000000001,164.8,8,228.8,96,1495.2,384,8,88.80000000000001,7080,178.4,6691.200000000001,303.2,74.4,286.40000000000003,335.20000000000005,1239.2,12,1050.4,4.800000000000001,1.6,0.8,60,8.8,6007.200000000001,4589.6
1714737640000,76.80000000000001,1100,3000.8,60,715.2,5748,167.20000000000002,24,121.60000000000001,8,84,96,2392,384,8,20.8,8472.800000000001,285.6,7298.400000000001,262.40000000000003,125.60000000000001,566.4,453.6,906.4000000000001,9.600000000000001,424,4.800000000000001,1.6,0,35.2,12,6931.200000000001,5951.200000000001
1714737650000,6.4,1507.2,3571.2000000000003,44,1128.8,6737.6,128,19.200000000000003,80.80000000000001,10.4,450.40000000000003,96,2644.8,384,8,9.600000000000001,14553.6,557.6,7759.200000000001,1403.2,58.400000000000006,691.2,1450.4,6625.6,8.8,1464.8000000000002,47.2,1.6,0.8,62.400000000000006,10.4,6248,9328
1714737660000,4.800000000000001,1577.6000000000001,4206.400000000001,16,696,4367.2,69.60000000000001,51.2,101.60000000000001,8,421.6,96,1739.2,384,8,8,10814.400000000001,275.2,5233.6,559.2,132.8,360.8,663.2,3493.6000000000004,11.200000000000001,907.2,3.2,1.6,2.4000000000000004,36.800000000000004,1.6,7624.8,5996.8
1714737670000,5.6000000000000005,1067.2,3006.4,24,774.4000000000001,5798.400000000001,130.4,39.2,186.4,8,47.2,96,3057.6000000000004,384,8,14.4,7172.8,312,8270.4,300.8,55.2,547.2,1542.4,1064,10.4,290.40000000000003,3.2,1.6,0.8,107.2,0.8,4480,5232.8
1714737680000,5.6000000000000005,1367.2,5077.6,39.2,903.2,5671.200000000001,115.2,56.800000000000004,40,9.600000000000001,75.2,96,3410.4,384,8,19.200000000000003,13031.2,432,9436,391.20000000000005,132.8,435.20000000000005,1048,2208,8.8,1163.2,4,1.6,0.8,32.800000000000004,5.6000000000000005,7080.8,7592
1714737690000,6.4,1645.6000000000001,5752.8,21.6,768.8000000000001,6161.6,137.6,32.800000000000004,184.8,8,1565.6000000000001,96,2276.8,384,8,17.6,14235.2,284,6676,463.20000000000005,48,562.4,2536.8,2180,16.8,213.60000000000002,4,1.6,0,114.4,4,9350.4,8174.400000000001
1714737700000,8,1136.8,3826.4,26.400000000000002,640,3997.6000000000004,63.2,27.200000000000003,111.2,8,171.20000000000002,96,2008.8000000000002,384,8,10.4,8669.6,276,4654.400000000001,365.6,70.4,284.8,3523.2000000000003,1292.8000000000002,9.600000000000001,264,4.800000000000001,1.6,0.8,42.400000000000006,2.4000000000000004,5604,5696
1714737710000,8,968,3791.2000000000003,7.2,646.4000000000001,4438.400000000001,40.800000000000004,25.6,43.2,8.8,172.8,96,2881.6000000000004,384,8,8,7448.8,308,6521.6,263.2,58.400000000000006,279.2,3708,1096.8,8,416,3.2,1.6,0,37.6,2.4000000000000004,5328,5514.400000000001
1714737720000,6.4,1776.8000000000002,4854.400000000001,20.8,1130.4,6376.8,50.400000000000006,29.6,103.2,7.2,93.60000000000001,96,2378.4,384,8,9.600000000000001,11837.6,333.6,9003.2,303.2,541.6,331.20000000000005,3756,1576.8000000000002,8,2548,6.4,1.6,2.4000000000000004,32.800000000000004,5.6000000000000005,7425.6,7474.400000000001
1714737730000,8,1059.2,3635.2000000000003,47.2,513.6,4368.8,167.20000000000002,32,168.8,8.8,90.4,96,2042.4,384,8,44,9585.6,152.8,6090.400000000001,416.8,376.8,326.40000000000003,5290.400000000001,1344.8000000000002,12.8,3966.4,4.800000000000001,1.6,0,100,6.4,6840.8,9772
1714737740000,8,970.4000000000001,3362.4,13.600000000000001,636.8000000000001,5552,44.800000000000004,41.6,39.2,10.4,79.2,96,2604.8,384,8,8,8635.2,247.20000000000002,6618.400000000001,316.8,289.6,386.40000000000003,3273.6000000000004,1208.8,7.2,4362.400000000001,3.2,1.6,,8.8,16,5764.8,12314.400000000001
1714737750000,8.8,1257.6000000000001,3737.6000000000004,13.600000000000001,744,3448.8,46.400000000000006,25.6,96.80000000000001,8,76,96,1884.8000000000002,384,8,10.4,9728,298.40000000000003,5260.8,431.20000000000005,73.60000000000001,339.20000000000005,4729.6,1446.4,8,4785.6,1.6,1.6,,27.200000000000003,4.800000000000001,5996.8,12058.400000000001
1714737760000,13.600000000000001,1210.4,2772,18.400000000000002,696.8000000000001,5991.200000000001,71.2,40.800000000000004,93.60000000000001,8,109.60000000000001,96,2470.4,384,8,8.8,7377.6,304,7208.8,348,84.80000000000001,425.6,3139.2000000000003,1268,8,2848.8,3.2,1.6,1.6,33.6,1.6,4629.6,9747.2
1714737770000,8,1430.4,3922.4,14.4,889.6,5244.8,65.60000000000001,46.400000000000006,29.6,8,148,96,2320.8,384,8,16.8,9380,366.40000000000003,7516,419.20000000000005,83.2,464.8,4520,1241.6000000000001,8,3393.6000000000004,3.2,1.6,0,28,7.2,7190.400000000001,11984.800000000001
1714737780000,5.6000000000000005,1263.2,3785.6000000000004,30.400000000000002,628.8000000000001,3717.6000000000004,295.2,45.6,248,8,115.2,96,1990.4,384,8,12.8,8333.6,243.20000000000002,6545.6,432,100.80000000000001,385.6,7105.6,1362.4,16,3299.2000000000003,1.6,1.6,2.4000000000000004,179.20000000000002,1.6,6320,10024
1714737790000,8,1044,2822.4,12.8,578.4,3145.6000000000004,88.80000000000001,32.800000000000004,225.60000000000002,8,70.4,96,1781.6000000000001,384,8,12.8,7718.400000000001,212.8,4824,279.2,96.80000000000001,285.6,5374.400000000001,1341.6000000000001,12.8,3124.8,1.6,1.6,0.8,147.20000000000002,3.2,5621.6,9067.2
1714737800000,5.6000000000000005,1045.6000000000001,2418.4,15.200000000000001,994.4000000000001,7093.6,175.20000000000002,37.6,76.80000000000001,8,52.800000000000004,96,2900.8,384,8,13.600000000000001,6979.200000000001,359.20000000000005,9801.6,368.8,93.60000000000001,712,5403.200000000001,867.2,12.8,3350.4,2.4000000000000004,1.6,0,64.8,7.2,4743.2,9420
1714737810000,7.2,1996.8000000000002,5165.6,24,840.8000000000001,5572.8,150.4,36,260,12.8,317.6,96,2140.8,384,8,8.8,14927.2,491.20000000000005,7536.8,434.40000000000003,124.80000000000001,420.8,5294.400000000001,2601.6000000000004,12,3286.4,1.6,1.6,0.8,163.20000000000002,2.4000000000000004,9868.800000000001,12273.6
1714737820000,6.4,1299.2,3167.2000000000003,18.400000000000002,1013.6,4284.8,71.2,34.4,116.80000000000001,8.8,185.60000000000002,96,1309.6000000000001,384,8,8,7786.400000000001,283.2,5180,304,125.60000000000001,353.6,5318.400000000001,1200,8.8,3232,2.4000000000000004,1.6,0,45.6,5.6000000000000005,5565.6,9528.800000000001
1714737830000,24.8,1249.6000000000001,2680,12,536.8000000000001,4275.2,67.2,35.2,66.4,8,125.60000000000001,96,1852,384,8,8,6748.8,202.4,6983.200000000001,318.40000000000003,100,319.20000000000005,4492,1184,8,3176,2.4000000000000004,1.6,,36,9.600000000000001,4971.200000000001,9211.2
1714737840000,5.6000000000000005,1252.8000000000002,3386.4,19.200000000000003,924,3278.4,127.2,16,160.8,8,991.2,96,1182.4,384,8,8,9845.6,278.40000000000003,4999.200000000001,366.40000000000003,90.4,926.4000000000001,5283.200000000001,1730.4,8,3088.8,2.4000000000000004,1.6,2.4000000000000004,88,7.2,7103.200000000001,10432
