sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CQS_Pillar_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","CTS_Pillard_Feeds_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1707228000000,70754.40000000001,56736,210924,93559.20000000001,50884,184172.80000000002,249432,19.200000000000003,19942.4,20.8,120756.8,123.2,159774.40000000002,48000,122699.20000000001,77916,55.2,34291.200000000004,644388,23845.600000000002,300082.4,56238.4,17.6,23640,134873.6,52221.600000000006,34342.4,31838.4,23622.4,2187.2000000000003,968,77205.6,822.4000000000001,309029.60000000003,300472
1707231600000,102161.6,81391.20000000001,274977.60000000003,131626.4,70194.40000000001,191275.2,333477.60000000003,19.200000000000003,28259.2,20.8,188412.80000000002,296.8,176316,66795.2,147449.6,106680.8,65.60000000000001,37201.6,811772,29584.800000000003,298228,70606.40000000001,18.400000000000002,24630.4,149282.4,68824.8,50924,28348.800000000003,23708.800000000003,3009.6000000000004,1531.2,119908,992,382079.2,383756.80000000005
1707235200000,61199.200000000004,64275.200000000004,192967.2,86469.6,49261.600000000006,129784,218575.2,19.200000000000003,15998.400000000001,20.8,116253.6,1089.6000000000001,145490.4,43113.600000000006,102920.8,66000,80,22200,585492.8,22063.2,209183.2,72203.2,17.6,16443.2,109977.6,54106.4,32965.6,22226.4,16586.4,1544,1422.4,73000.8,936,300276,365852
1707238800000,65658.40000000001,65716,209691.2,95500.8,63262.4,150103.2,238604,19.200000000000003,19280.8,20.8,132528,373.6,152764.80000000002,49278.4,109118.40000000001,69724,63.2,26984,705765.6000000001,24333.600000000002,235486.40000000002,80207.20000000001,18.400000000000002,20412,141552,57114.4,37589.6,37677.6,18636,1776.8000000000002,1640.8000000000002,84268.8,1004,310735.2,344359.2
1707242400000,81238.40000000001,65848.8,273037.60000000003,116062.40000000001,65192,149772,294739.2,19.200000000000003,29918.4,20.8,180735.2,318.40000000000003,164926.40000000002,79268.8,126773.6,70733.6,60.800000000000004,36220.8,667779.2000000001,22758.4,293014.4,100785.6,17.6,17663.2,147594.4,70740,49212,44542.4,21378.4,2408.8,1408,115406.40000000001,672.8000000000001,372588.80000000005,314231.2
1707246000000,80312,94402.40000000001,324321.60000000003,110919.20000000001,83280.8,191106.40000000002,284968.8,19.200000000000003,18534.4,20.8,152074.4,209.60000000000002,209506.40000000002,79002.40000000001,150656.80000000002,105018.40000000001,64.8,26318.4,986488,29441.600000000002,351028.80000000005,124148,92.80000000000001,26104.800000000003,164922.40000000002,87159.20000000001,41737.600000000006,39451.200000000004,20496.800000000003,1663.2,1482.4,92818.40000000001,634.4000000000001,475821.60000000003,452843.2
1707249600000,89969.6,305529.60000000003,544920,109320,163506.40000000002,254737.6,393838.4,19.200000000000003,36838.4,20.8,313355.2,1016,335513.60000000003,89082.40000000001,198676.80000000002,131295.2,142.4,35666.4,1399612,42633.600000000006,517773.60000000003,324744.80000000005,11832.800000000001,92715.20000000001,352519.2,219660,46010.4,158952.80000000002,21413.600000000002,2468.8,28141.600000000002,223638.40000000002,21624,1005761.6000000001,1059051.2
1707253200000,26028,24746.4,104590.40000000001,5579.200000000001,8166.400000000001,18768,26482.4,19.200000000000003,1288.8000000000002,20.8,71785.6,155.20000000000002,5612.8,1933.6000000000001,9175.2,391.20000000000005,8,1735.2,129664.8,2977.6000000000004,95457.6,2365.6,574.4,2465.6000000000004,185.60000000000002,34045.6,4848.8,9888.800000000001,1121.6000000000001,31.200000000000003,120,25846.4,7618.400000000001,249202.40000000002,67597.6
1707256800000,20146.4,555.2,1487.2,2.4000000000000004,820,4359.2,26876,19.200000000000003,374.40000000000003,20.8,468,408.8,16,0,1376.8000000000002,428.8,8,8,6664.8,162.4,28011.2,500,16,348.8,3.2,4972,8,6592,2.4000000000000004,1.6,2.4000000000000004,1.6,0.8,12115.2,5440.8
1707260400000,180,656,2006.4,2.4000000000000004,405.6,1243.2,12,19.200000000000003,16.8,20.8,4,8,,,663.2,384,8,8,6724,324,13005.6,148.8,16,956,3.2,5875.200000000001,8,8320.800000000001,1.6,1.6,2.4000000000000004,1.6,0.8,7715.200000000001,3556.8
