sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BZX_Feeds_A","Canadian_feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NYSE_AMEX_OpenBook_A","TSX_Feeds_A","UTP_Feed_A"
1714737600000,239368,925136,1372744,512,106896,9288,3988920
1714737620000,47040,609720,427064,512,157664,0,1254248
1714737640000,19200,700072,63752,512,128224,0,3658112
1714737660000,1472,634416,219584,512,154368,6120,1371584
1714737680000,2296,1190608,141272,512,162896,3160,1879984
1714737700000,3056,707240,73896,512,112448,0,1461024
1714737720000,2712,1104568,125168,512,214928,0,1838208
1714737740000,2296,697840,81600,512,109648,,2286472
1714737760000,6880,763304,55296,512,141568,0,2158912
1714737780000,5088,731344,318584,512,94800,0,2646864
1714737800000,1688,852880,150192,512,181744,0,2257232
1714737820000,11968,777632,93952,512,96128,0,1678800
1714737840000,3336,615824,161888,512,311744,0,2014888
1714737860000,3120,1118472,189664,512,231712,0,2871672
1714737880000,960,607320,139376,512,188800,,1994480
1714737900000,4992,880128,220808,512,184784,0,2403136
1714737920000,2440,498904,302088,512,61840,,666208
1714737940000,2160,426104,56128,512,65520,,602504
1714737960000,1784,562968,165832,512,56400,0,801680
1714737980000,856,514312,58632,512,87952,,1251840
1714738000000,2440,712664,312520,512,92336,,1163328
1714738020000,4856,667368,107648,512,274064,0,1047176
1714738040000,1648,684088,102096,512,189488,,1577416
1714738060000,1472,534496,108032,512,301696,,1261408
1714738080000,2608,605328,70752,512,89712,0,740072
1714738100000,2432,827368,59144,512,98816,,961888
1714738120000,1648,581656,211288,512,168496,,1218112
1714738140000,3744,701224,71384,512,318432,0,2399496
1714738160000,2160,651552,182208,512,133712,,1106712
1714738180000,2608,568872,213704,512,110640,,1471864
1714738200000,1472,826096,56376,512,68976,0,938192
1714738220000,6240,734008,894264,512,59680,,990264
1714738240000,6128,504224,222904,512,81296,,1073808
1714738260000,1304,970264,70784,512,126912,0,1012024
1714738280000,2440,880008,101496,512,123440,,1503960
1714738300000,2288,1119752,87504,512,129232,,1524664
1714738320000,1680,924944,67968,512,71184,0,1042640
1714738340000,1544,601248,92400,512,131024,,1247928
1714738360000,1648,1353216,63856,512,123024,,1953648
1714738380000,2160,878384,79824,512,89488,0,1081496
1714738400000,2160,1009408,82696,512,99696,,850488
1714738420000,2608,1219200,53584,512,127392,0,1466960
1714738440000,1472,1098768,62640,512,74816,0,1273400
1714738460000,1472,566120,71176,512,137184,,2266488
1714738480000,2160,1466248,176024,512,86368,,1413880
1714738500000,5480,1266032,530104,512,154768,0,2111528
1714738520000,2880,922392,192040,512,55728,,1218352
1714738540000,2296,1603392,179360,512,182144,,1863912
1714738560000,2264,689896,292096,512,97952,0,1186520
1714738580000,2712,966352,65376,512,83984,,1066552
1714738600000,3120,882184,63032,512,130208,,1329792
1714738620000,1784,1314480,130512,512,90400,0,1630456
1714738640000,3448,1886928,435864,512,159568,,1737824
1714738660000,5584,1017776,317848,512,83712,,1291456
1714738680000,2728,1094392,235344,512,104752,0,1408104
1714738700000,2608,1118048,131504,512,104592,,1421984
1714738720000,1648,950440,90584,512,68544,,1152120
1714738740000,4288,826448,64456,512,121104,0,1101616
1714738760000,2160,836864,127584,512,142400,,1035608
1714738780000,2160,1008632,132048,512,80368,,1574024
1714738800000,2160,1446920,210392,512,162784,0,2111832
1714738820000,1304,1015912,90376,512,83536,,3409552
1714738840000,2440,943464,99928,512,74320,,2732024
1714738860000,2608,950680,126912,512,94336,0,1206920
1714738880000,2672,1074920,53888,512,94496,,1793336
1714738900000,2296,617520,108072,512,69696,,951048
1714738920000,2432,2489472,140624,512,264880,0,2767792
1714738940000,2024,955712,104624,512,94064,,1279784
1714738960000,1472,1023736,121488,512,70976,,1233328
1714738980000,1752,960288,58824,512,112016,0,1291784
1714739000000,1752,1502952,374352,512,135424,,1843120
1714739020000,1472,1202520,76616,512,109744,,2244264
1714739040000,960,1013912,71448,512,106144,0,1362368
1714739060000,1304,877272,213456,512,97344,,1484320
1714739080000,2160,1410952,243432,512,355488,,2517784
1714739100000,1472,1089096,298296,512,96736,0,1378704
1714739120000,2440,1056624,267304,512,141872,,1120992
1714739140000,1648,1509560,407400,512,353024,,2829992
1714739160000,1648,1017992,81776,512,138832,0,1666928
1714739180000,1472,1066968,66176,512,158160,,1633144
1714739200000,1304,2471104,102008,512,338160,,4314712
1714739220000,2192,1321400,60008,512,127056,0,2018576
1714739240000,960,2135976,93512,512,265920,,2968488
1714739260000,960,1034712,115584,512,168416,,2189568
1714739280000,960,2077056,125752,512,225392,0,2002568
1714739300000,1304,1757360,118536,512,214736,,2581072
1714739320000,1648,915528,106344,512,526192,,2536120
1714739340000,1784,1048336,71680,512,27216,0,1438832
1714739360000,2264,682928,53112,512,130928,,4469592
1714739380000,1752,1030856,664264,512,23648,,16871248
1714739400000,2952,4823624,3592688,512,30672,0,8705720
1714739420000,1784,4880480,1312632,512,345456,,10318616
1714739440000,2504,5210688,682240,512,717840,,9238696
1714739460000,2368,5709440,789824,512,339664,0,7888144
1714739480000,4288,5993640,425064,512,461936,,9250528
1714739500000,2608,6812680,706920,512,230720,,9095824
1714739520000,1472,5672680,995760,512,280448,0,6511592
1714739540000,2160,4528432,763704,512,204240,,5290848
1714739560000,2160,4216800,902104,512,256176,,6130320
1714739580000,1304,6193320,858736,512,273424,0,6774936
1714739600000,1648,5043624,246392,512,213216,,6528664
1714739620000,1648,4629232,206488,512,273616,,5690232
1714739640000,1752,5006184,172248,512,182064,0,5435216
1714739660000,2160,3252256,280904,512,135392,,3829976
1714739680000,1648,3625880,285008,512,378976,,5964808
1714739700000,35504,4980408,442768,512,230560,0,7443248
1714739720000,1648,4437656,667624,512,272432,,5709920
1714739740000,1584,3018432,766800,512,547824,,4618480
1714739760000,1648,4552448,652896,512,167152,0,4320320
1714739780000,2440,7650360,432840,512,399264,,10156160
1714739800000,1752,3882920,899728,512,212512,,5062752
1714739820000,3328,4667104,979208,512,301392,0,4843864
1714739840000,1648,4150752,702320,512,211472,,4686600
1714739860000,1752,3847144,663720,512,212352,,5773720
1714739880000,2744,5108968,443080,512,202384,0,5764696
1714739900000,1784,3770312,1033984,512,144576,,6319656
1714739920000,2056,3125880,759992,512,272480,,7097104
1714739940000,2504,5415312,1299480,512,155872,0,4738264
1714739960000,2288,3401144,618432,512,276784,0,4492376
1714739980000,1776,2191264,567040,512,563024,0,5391520
1714740000000,3360,4799608,809840,512,477632,0,6938280
1714740020000,2368,4982176,276048,512,355776,,4364840
1714740040000,1648,3517704,585592,512,368592,,5145192
1714740060000,3568,4262600,368768,512,470576,0,6993152
1714740080000,1784,3649968,454248,512,333456,,5299048
1714740100000,2160,3481888,496040,512,411936,,4235840
1714740120000,135904,3380552,3570800,512,364656,0,5195584
1714740140000,107576,4433272,3997720,512,424128,,6462608
1714740160000,103768,3837024,2623336,512,386368,0,5238832
1714740180000,114240,4178608,3012464,512,362768,0,4466664
1714740200000,292248,5332768,2835008,512,654800,2984,7541832
1714740220000,227288,5822368,1892112,512,613744,0,6272968
1714740240000,300928,4763800,2377312,512,499920,0,5483896
1714740260000,195664,5066328,3527224,512,687584,0,5791104
1714740280000,194320,3729344,3324992,512,504128,,4979960
1714740300000,155928,5557336,2127368,512,602880,0,5989752
1714740320000,190824,5035240,2074720,512,464288,,5372608
1714740340000,208584,4753840,3715304,512,476464,,5018456
1714740360000,232272,4509704,3606056,512,374208,0,4683168
1714740380000,191720,4209488,3598952,512,453984,,4915592
1714740400000,103416,4125072,2798296,512,510656,,5037040
1714740420000,147544,5245576,3210040,512,514160,0,6382832
1714740440000,188096,3242472,2749864,512,415664,,4572000
1714740460000,135240,2411136,2176984,512,575984,,3838552
1714740480000,176800,4347336,4891664,512,396832,0,8163104
1714740500000,232512,2522704,1518584,512,310112,,4667872
1714740520000,264752,3120184,1713728,512,434144,,4810792
1714740540000,186704,4281432,4399840,512,558448,0,7173168
1714740560000,139488,2300912,2288184,512,331584,,3386768
1714740580000,220816,3407488,1661432,512,387536,,3987672
1714740600000,91576,2574408,1873848,512,268544,0,3107480
1714740620000,189232,2185872,2067192,512,249136,,2848416
1714740640000,105032,1729592,1330952,512,291584,,3061176
1714740660000,71592,2009768,1439360,512,333488,0,3808032
1714740680000,82240,1976400,1234264,512,273104,,3272120
1714740700000,108168,3161880,1302192,512,346576,0,3357400
1714740720000,121784,3287048,1592512,512,393440,0,3453416
1714740740000,161384,3413768,1826152,512,360496,,4711040
1714740760000,89104,3523856,1771504,512,349488,0,4042512
1714740780000,223576,3199528,2616912,512,319840,0,3623880
1714740800000,125464,3018720,2048376,512,330592,,3390248
1714740820000,189968,3785800,3681568,512,403216,,4959552
1714740840000,117720,3003504,1887792,512,380416,0,3857184
1714740860000,97008,3502504,1789808,512,248144,,3275344
1714740880000,207336,2698704,2663024,512,388320,,4918608
1714740900000,97384,3723008,2973496,512,297248,0,3717552
